
input orientation, VRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Experience(yrs),number of EOM,EOY(points),DeadlinesMet,TaskAssigned,EOM points (agg),Manager Score,TaskCompleted,VRS
34.000000,0.307654,0.006301,0.003706,0.012986,0.668466,0.000000,0.000000,0.001487,0.002245,0.000000,0.000000,-10.610473
35.000000,0.114996,0.011830,0.006414,0.000000,0.000000,0.000000,0.000000,0.000378,0.000000,0.001709,0.000000,-0.093941
36.000000,0.380057,0.009616,0.005090,0.000000,0.048707,0.000000,0.000000,0.004143,0.000597,0.000000,0.000000,-2.567141
37.000000,1.000000,0.004567,0.011506,0.001306,0.604727,0.000000,0.000000,0.002342,0.004632,0.000000,0.000000,-12.430238
38.000000,0.202090,0.002346,0.002894,0.000000,0.000000,0.000000,0.000000,0.000714,0.000000,0.015644,0.000000,-1.576561
39.000000,0.088032,0.006583,0.024507,0.001880,0.000000,0.000000,0.000000,0.000000,0.001501,0.000000,0.000000,-1.580366
40.000000,0.247755,0.007271,0.012369,0.007215,0.082772,0.000000,0.000508,0.000000,0.000440,0.000000,0.000000,-1.244902
41.000000,0.117311,0.006097,0.004602,0.000000,0.000000,0.000000,0.000643,0.000000,0.000120,0.006303,0.000000,-0.587095
42.000000,0.054207,0.005356,0.001725,0.003344,0.000000,0.001564,0.000000,0.000358,0.000000,0.000000,0.000000,-0.222266
43.000000,0.044661,0.005034,0.005202,0.000000,0.002062,0.000603,0.000000,0.000131,0.000000,0.000003,0.000000,-0.024662
44.000000,1.000000,0.166667,0.210317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011905,0.000000,0.000000
45.000000,0.053856,0.009027,0.006145,0.000274,0.000000,0.000000,0.000000,0.000266,0.000000,0.001045,0.000000,-0.045008
46.000000,0.182186,0.010351,0.001553,0.000000,0.000000,0.001892,0.000000,0.004326,0.000000,0.005838,0.000000,-2.320289
47.000000,0.124110,0.011590,0.004017,0.000000,0.002713,0.000000,0.000000,0.000307,0.000000,0.000000,0.000000,-0.007943
48.000000,0.060818,0.004335,0.001213,0.002022,0.000000,0.001086,0.000000,0.000256,0.000000,0.000000,0.000000,-0.147433
49.000000,0.240211,0.008401,0.009837,0.000000,0.029521,0.000000,0.000000,0.000410,0.000782,0.000294,0.000000,-0.990278
50.000000,0.100210,0.005072,0.002418,0.000639,0.015815,0.000000,0.000000,0.000446,0.000079,0.002018,0.000000,-0.384050
51.000000,0.209214,0.009891,0.002316,0.020184,0.000000,0.003907,0.000000,0.000767,0.000000,0.000000,0.000000,-0.893064
52.000000,0.240716,0.031528,0.007021,0.000000,0.044037,0.015892,0.000000,0.000000,0.000310,0.000000,0.000000,-1.526371
53.000000,0.569424,0.009286,0.002734,0.000000,0.038326,0.000000,0.000000,0.003531,0.000000,0.806794,0.000000,-81.342249
54.000000,0.076141,0.008446,0.004276,0.000021,0.010251,0.000000,0.000000,0.000000,0.000037,0.000000,0.000000,-0.039664
55.000000,0.358095,0.021859,0.016391,0.000000,0.418136,0.002696,0.000000,0.000000,0.000448,0.000000,0.000000,-4.783767
56.000000,0.531137,0.005397,0.002665,0.000000,0.464765,0.003112,0.000000,0.000998,0.001578,0.000665,0.000000,-7.377975
57.000000,0.222567,0.002794,0.005260,0.082060,0.007408,0.000000,0.000000,0.000902,0.000000,0.006556,0.000000,-2.945132
58.000000,0.082808,0.004189,0.002065,0.000000,0.011152,0.000000,0.000000,0.000311,0.000067,0.001410,0.000000,-0.257644
59.000000,0.265265,0.002625,0.003449,0.011326,0.000000,0.001393,0.000000,0.000901,0.000000,0.008311,0.000000,-1.219760
60.000000,0.190056,0.007027,0.003105,0.000000,0.022972,0.000221,0.000172,0.000584,0.000176,0.003225,0.000000,-0.639394
61.000000,0.305249,0.032284,0.001216,0.012168,0.000000,0.000000,0.000000,0.006971,0.000000,0.000000,0.000000,-3.226722
62.000000,0.075355,0.006096,0.004097,0.000000,0.000000,0.003926,0.000000,0.000187,0.000031,0.001316,0.000000,-0.395465
63.000000,1.000000,0.010205,0.001873,0.035664,0.000000,0.020510,0.000000,0.032289,0.000000,0.001971,0.000000,-17.854625
64.000000,0.062253,0.007221,0.003056,0.000656,0.002283,0.000000,0.000000,0.000179,0.000000,0.000000,0.000000,-0.004978
65.000000,0.053518,0.004192,0.002714,0.000417,0.002986,0.000656,0.000000,0.000152,0.000012,0.000000,0.000000,-0.062718
66.000000,0.049118,0.005250,0.003649,0.000666,0.000265,0.000000,0.000000,0.000115,0.000000,0.000000,0.000000,0.012406
67.000000,0.264434,0.003209,0.007122,0.015162,0.003195,0.000000,0.001115,0.000310,0.000832,0.010882,0.000000,-2.126619
68.000000,0.711802,0.007308,0.010235,0.034472,0.004465,0.003429,0.000000,0.003295,0.000000,0.016825,0.000000,-3.162507
69.000000,0.080376,0.004262,0.001906,0.000000,0.004519,0.000000,0.000000,0.000210,0.000000,0.000448,0.000000,-0.069960
70.000000,0.772189,0.014233,0.003600,0.000000,0.367588,0.030166,0.003264,0.000000,0.001372,0.000000,0.000000,-7.918995
71.000000,0.204028,0.017970,0.020950,0.000000,0.009182,0.000000,0.000000,0.000499,0.000123,0.000000,0.000000,-0.056588
72.000000,0.205354,0.009968,0.003506,0.000000,0.019957,0.011639,0.000000,0.000357,0.000924,0.002689,0.000000,-2.039109
73.000000,0.127160,0.012251,0.003536,0.000000,0.011190,0.004619,0.000000,0.000806,0.000636,0.004623,0.000000,-1.331811
74.000000,0.579375,0.004431,0.001599,0.054856,0.041371,0.000000,0.000000,0.020424,0.000000,0.000000,0.000000,-11.212698
75.000000,0.115385,0.019231,0.032051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115385
76.000000,0.235515,0.031726,0.002367,0.013637,0.112327,0.000000,0.000000,0.000893,0.000000,0.000000,0.000000,-1.512738
77.000000,0.857203,0.027896,0.001669,0.000000,0.091458,0.000000,0.000000,0.003979,0.001113,0.000000,0.000000,-3.232848
78.000000,1.000000,0.005570,0.186818,0.000000,0.000000,0.018221,0.000000,0.000000,0.004669,0.000000,0.000000,-6.141376
79.000000,1.000000,0.010595,0.004458,0.000000,0.088927,0.000000,0.001921,0.001872,0.000000,0.138285,0.000000,-14.571331
80.000000,0.281666,0.003932,0.004523,0.011045,0.064726,0.001803,0.000000,0.001546,0.000000,0.040393,0.000000,-4.963594
81.000000,0.068674,0.004251,0.001988,0.000784,0.004792,0.000000,0.000000,0.000255,0.000000,0.000000,0.000000,-0.083396
82.000000,1.000000,0.006426,0.005143,0.017941,0.071839,0.037399,0.000000,0.000369,0.009220,0.000000,0.000000,-14.667885
83.000000,0.482646,0.007007,0.005305,0.619375,0.000000,0.037820,0.000000,0.000774,0.000000,0.000000,0.000000,-21.494426
