
input orientation, VRS
DMU,Efficiency
461.000000,0.323719
462.000000,0.284052
463.000000,0.765101
464.000000,1.000000
465.000000,0.423683
466.000000,0.318213
467.000000,0.734434
468.000000,1.000000
469.000000,1.000000
470.000000,1.000000
471.000000,0.092723
472.000000,0.072997
473.000000,0.103858
474.000000,0.110444
475.000000,0.702980
476.000000,1.000000
477.000000,0.224039
478.000000,0.058744
479.000000,0.059416
480.000000,0.354430
481.000000,0.068538
482.000000,1.000000
483.000000,0.065178
484.000000,0.055000
485.000000,1.000000
486.000000,0.311563
487.000000,0.132925
488.000000,0.120099
489.000000,1.000000
490.000000,0.046766
491.000000,0.487806
492.000000,1.000000
493.000000,0.345842
494.000000,0.081765
495.000000,0.190601
496.000000,1.000000
497.000000,0.109399
498.000000,0.105913
499.000000,0.049334
500.000000,0.372606
501.000000,0.131740
502.000000,0.293168
503.000000,0.051582
504.000000,1.000000
505.000000,0.170220
506.000000,0.075791
507.000000,0.379189
508.000000,0.353819
509.000000,0.156978
510.000000,0.107024
511.000000,0.038542
512.000000,0.340590
513.000000,0.575158
514.000000,0.054838
515.000000,1.000000
516.000000,0.853774
517.000000,1.000000
518.000000,0.183957
519.000000,0.620705
520.000000,0.376197
521.000000,0.921643
522.000000,0.197994
523.000000,0.057340
524.000000,0.586323
525.000000,0.215079
526.000000,1.000000
527.000000,0.170975
528.000000,1.000000
529.000000,1.000000
530.000000,0.294974
531.000000,0.065501
532.000000,0.127585
533.000000,0.769609
534.000000,0.446129
535.000000,0.111265
536.000000,1.000000
537.000000,0.774237
538.000000,0.057367
539.000000,0.392273
540.000000,0.068489
541.000000,0.078970
542.000000,0.100259
543.000000,0.062054
544.000000,1.000000
545.000000,0.638720
546.000000,0.214680
547.000000,0.216851
548.000000,0.252676
549.000000,0.676759
550.000000,0.739105
551.000000,0.239097
552.000000,0.402805
553.000000,0.324156
554.000000,1.000000
555.000000,0.059614
556.000000,0.220325
557.000000,0.206046
558.000000,0.193574
559.000000,1.000000
560.000000,0.843900
561.000000,0.083241
562.000000,0.192187
563.000000,0.184597
564.000000,0.223836
565.000000,0.120521
566.000000,0.043925
567.000000,0.267362
568.000000,0.173676
569.000000,0.243749
570.000000,0.080421
571.000000,0.219342
572.000000,1.000000
573.000000,0.072327
574.000000,0.387432
575.000000,0.152935
576.000000,0.128539
577.000000,0.564861
578.000000,0.078052
579.000000,0.281549
580.000000,0.680730
581.000000,0.038225
582.000000,0.489144
583.000000,0.134116
584.000000,0.044097
585.000000,0.240767
586.000000,0.329791
587.000000,0.066965
588.000000,0.514192
589.000000,1.000000
590.000000,0.110140
591.000000,0.349854
592.000000,0.299996
593.000000,0.270973
594.000000,0.116360
595.000000,0.804094
596.000000,0.082567
597.000000,1.000000
598.000000,0.092452
599.000000,0.359974
600.000000,0.109457
601.000000,0.150629
602.000000,1.000000
603.000000,0.423053
604.000000,1.000000
605.000000,0.187664
