
input orientation, VRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Experience(yrs),number of EOM,EOY(points),DeadlinesMet,TaskAssigned,EOM points (agg),Manager Score,TaskCompleted,VRS
69.000000,0.080376,0.626466,0.373534,0.000000,0.036152,0.000000,0.000000,0.092668,0.000000,0.021515,0.000000,-0.069960
70.000000,0.772189,0.683181,0.316819,0.000000,4.043470,2.805443,0.567979,0.000000,1.274292,0.000000,0.000000,-7.918995
71.000000,0.204028,0.539105,0.460895,0.000000,0.018363,0.000000,0.000000,0.114719,0.127534,0.000000,0.000000,-0.056588
72.000000,0.205354,0.747595,0.252405,0.000000,0.139702,0.977679,0.000000,0.038601,0.929848,0.158633,0.000000,-2.039109
73.000000,0.127160,0.416533,0.583467,0.000000,0.055952,0.258673,0.000000,0.145832,0.679551,0.318963,0.000000,-1.331811
74.000000,0.579375,0.536208,0.463792,1.535958,0.248225,0.000000,0.000000,10.007889,0.000000,0.000000,0.000000,-11.212698
75.000000,0.115385,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115385
76.000000,0.235515,0.666244,0.333756,0.259101,1.235599,0.000000,0.000000,0.253553,0.000000,0.000000,0.000000,-1.512738
77.000000,0.857203,0.864790,0.135210,0.000000,1.006034,0.000000,0.000000,1.854110,1.229907,0.000000,0.000000,-3.232848
78.000000,1.000000,0.813182,0.186818,0.000000,0.000000,1.585269,0.000000,0.000000,5.556106,0.000000,0.000000,-6.141376
79.000000,1.000000,0.402606,0.597394,0.000000,0.978200,0.000000,0.255486,0.509100,0.000000,13.828546,0.000000,-14.571331
80.000000,0.281666,0.448218,0.551782,0.243001,0.711984,0.120798,0.000000,0.372543,0.000000,3.796935,0.000000,-4.963594
81.000000,0.068674,0.616366,0.383634,0.014104,0.052709,0.000000,0.000000,0.085257,0.000000,0.000000,0.000000,-0.083396
82.000000,1.000000,0.629722,0.370278,0.322944,0.646548,3.665084,0.000000,0.052350,10.980959,0.000000,0.000000,-14.667885
83.000000,0.482646,0.469501,0.530499,18.581244,0.000000,3.214700,0.000000,0.181128,0.000000,0.000000,0.000000,-21.494426
84.000000,0.110613,0.580470,0.419530,0.000000,0.000000,0.000000,0.000000,0.034871,0.575682,0.012156,0.000000,-0.512095
85.000000,0.480502,0.653260,0.346740,0.553414,0.000000,0.000000,0.000000,1.506716,0.584469,2.238723,0.000000,-4.402820
86.000000,0.388062,0.687563,0.312437,1.470650,0.493411,0.078051,0.000000,4.021887,0.000000,0.000000,0.000000,-5.675938
87.000000,0.036200,0.597306,0.402694,0.000000,0.000000,0.002185,0.000000,0.036898,0.000000,0.000000,0.000000,-0.002883
88.000000,0.102130,0.214493,0.785507,0.000000,0.013213,0.017959,0.000000,0.098933,0.000000,0.000000,0.000000,-0.027974
89.000000,1.000000,0.585772,0.414228,0.000000,0.379972,0.000000,0.000000,2.578813,0.837077,1.962782,0.000000,-4.758644
90.000000,0.046432,0.507195,0.492805,0.001268,0.005489,0.013869,0.000000,0.032537,0.000000,0.007846,0.000000,-0.014577
91.000000,1.000000,0.618342,0.381658,0.000000,2.217451,1.023622,3.759895,0.000000,0.349997,0.000000,0.000000,-6.350964
92.000000,0.067837,0.323450,0.676550,0.007427,0.021630,0.000000,0.000000,0.045294,0.000000,0.000000,0.000000,-0.006513
93.000000,0.310036,0.422760,0.577240,0.000000,0.000000,0.277698,0.000000,0.081419,0.339028,1.256597,0.000000,-1.644707
94.000000,0.163893,0.600082,0.399918,0.000000,0.000000,0.719336,0.093124,0.400139,0.177766,0.152717,0.000000,-1.379188
95.000000,0.052863,0.252161,0.747839,0.000000,0.001109,0.000000,0.000000,0.009833,0.388573,0.000000,0.000000,-0.346652
96.000000,1.000000,0.989954,0.010046,0.000000,0.000000,0.000000,0.000000,1.315582,1.537692,1.570263,0.000000,-3.423538
97.000000,0.298285,0.706904,0.293096,0.000000,0.347326,0.000000,0.041650,0.000000,0.412447,0.229308,0.000000,-0.732447
98.000000,0.043800,0.490923,0.509077,0.000000,0.016487,0.000000,0.000000,0.011832,0.124804,0.031674,0.000000,-0.140996
