
input orientation, VRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Manager Score,Experience(yrs),EOY(points),TaskAssigned,DeadlinesMet,EOM points (agg),TaskCompleted,number of EOM,VRS
187.000000,1.000000,0.618366,0.381634,0.000000,0.172236,0.000000,0.000000,2.105810,1.142621,0.000000,0.353497,-2.774164
188.000000,0.538452,0.742468,0.257532,0.000000,0.000000,0.000000,0.000000,0.483422,2.474909,0.000000,0.027641,-2.447519
189.000000,0.238025,0.732309,0.267691,0.279937,0.000000,1.615797,0.000000,0.000000,0.000000,0.000000,0.048617,-1.706326
190.000000,1.000000,0.929896,0.070104,0.000000,0.027512,2.330242,0.000000,0.000000,0.000000,0.000000,1.221520,-2.579274
191.000000,0.241829,0.524970,0.475030,0.000000,0.025034,0.294771,1.179228,0.166842,0.000000,0.000000,0.000000,-1.424046
192.000000,0.337104,0.426807,0.573193,0.702356,0.801103,0.202602,1.737328,0.064710,0.000000,0.000000,0.000000,-3.170995
193.000000,0.216214,0.836052,0.163948,0.046473,0.000000,0.000000,0.045979,0.000000,0.087229,0.000000,0.000000,0.036533
194.000000,1.000000,0.712920,0.287080,0.000000,9.047958,0.399747,0.000000,1.695603,0.000000,0.000000,0.000000,-10.143307
195.000000,0.210073,0.828734,0.171266,0.000000,1.345625,0.000000,0.269820,0.000000,0.926053,0.000000,0.000000,-2.331424
196.000000,0.092373,0.318336,0.681664,0.000000,0.000000,0.000000,0.125296,0.000000,0.055130,0.000000,0.000000,-0.088053
197.000000,0.198090,0.874395,0.125605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.351171,-0.153081
198.000000,1.000000,0.725850,0.274150,0.000000,0.000000,0.000000,0.000000,0.000000,1.165652,0.172643,0.000000,-0.338295
199.000000,0.144451,0.585808,0.414192,0.195065,0.000000,0.755969,0.000000,0.000000,0.000000,0.000000,0.023363,-0.829946
input orientation, CRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Manager Score,Experience(yrs),EOY(points),TaskAssigned,DeadlinesMet,EOM points (agg),TaskCompleted,number of EOM
1.000000,0.369189,0.578302,0.421698,0.000000,0.000000,0.074705,0.086319,0.000000,0.208165,0.000000,0.000000
2.000000,0.396910,0.541034,0.458966,0.000000,0.066615,0.000000,0.088197,0.000000,0.242098,0.000000,0.000000
3.000000,0.125258,0.372928,0.627072,0.000000,0.000000,0.000000,0.086144,0.000000,0.039115,0.000000,0.000000
4.000000,0.581929,0.833619,0.166381,0.000000,0.000000,0.000000,0.106530,0.000000,0.475399,0.000000,0.000000
5.000000,0.076292,0.919495,0.080505,0.000000,0.000000,0.000000,0.000000,0.000000,0.011745,0.000000,0.064547
6.000000,0.133190,0.244914,0.755085,0.000000,0.000000,0.036389,0.004301,0.000000,0.092499,0.000000,0.000000
7.000000,0.484387,0.559111,0.440889,0.000000,0.000000,0.218735,0.000000,0.000000,0.000000,0.000000,0.265652
8.000000,0.160689,0.329167,0.670833,0.000000,0.000000,0.000000,0.018410,0.000000,0.142279,0.000000,0.000000
